Cases,Deaths,Recovered,Province
1,0,0,Khyber Pakhtunkhwa
24,0,0,Khyber Pakhtunkhwa
2,0,1,Khyber Pakhtunkhwa
7,0,0,Khyber Pakhtunkhwa
3,0,0,Federal Administration Tribal Area
1,1,0,Islamabad Capital Territory
0,0,0,Punjab
54,1,16,Sindh
11,0,27,Sindh
12,0,3,Baluchistan
0,0,28,Gilgit-Baltistan
1,0,2,Gilgit-Baltistan
0,0,1,Khyber Pakhtunkhwa
7,1,4,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
1,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
0,0,1,Federal Administration Tribal Area
3,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
3,0,0,Azad Jummu Kashmir
49,2,0,Punjab
2,0,0,Punjab
3,0,0,Punjab
1,0,0,Punjab
15,0,0,Punjab
8,0,0,Punjab
12,0,0,Punjab
7,0,0,Punjab
1,0,0,Punjab
7,0,0,Punjab
4,0,0,Punjab
0,0,2,Punjab
0,0,4,Punjab
17,0,0,Punjab
6,0,0,Punjab
13,0,0,Punjab
1,0,0,Punjab
0,0,6,Punjab
1,0,0,Punjab
1,0,0,Punjab
8,0,0,Punjab
1,0,0,Punjab
2,0,0,Punjab
50,1,1,Sindh
6,0,0,Sindh
2,0,0,Sindh
1,0,0,Sindh
7,0,0,Sindh
4,0,0,Sindh
1,0,0,Sindh
1,0,0,Sindh
12,0,0,Sindh
2,0,0,Sindh
42,1,0,Sindh
0,0,18,Sindh
8,1,10,Baluchistan
1,0,20,Gilgit-Baltistan
0,0,0,Khyber Pakhtunkhwa
0,1,0,Khyber Pakhtunkhwa
2,1,0,Khyber Pakhtunkhwa
12,0,1,Khyber Pakhtunkhwa
3,0,1,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
2,0,0,Federal Administration Tribal Area
4,0,0,Federal Administration Tribal Area
5,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
0,0,48,Khyber Pakhtunkhwa
0,0,1,Khyber Pakhtunkhwa
10,0,0,Azad Jummu Kashmir
35,0,7,Islamabad Capital Territory
0,0,5,Punjab
213,1,0,Punjab
18,0,0,Punjab
366,0,0,Punjab
12,0,0,Punjab
0,0,18,Sindh
92,1,0,Sindh
0,0,69,Sindh
7,0,0,Baluchistan
2,0,0,Gilgit-Baltistan
3,0,0,Khyber Pakhtunkhwa
6,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
10,0,0,Khyber Pakhtunkhwa
4,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
6,1,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
15,1,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
7,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
5,0,0,Azad Jummu Kashmir
23,0,0,Punjab
1,0,0,Punjab
0,0,1,Punjab
0,0,1,Punjab
1,0,0,Punjab
4,0,0,Punjab
6,0,0,Punjab
0,0,7,Punjab
0,0,1,Punjab
2,0,0,Punjab
17,0,0,Punjab
2,0,0,Punjab
1,0,0,Punjab
8,0,0,Punjab
0,0,4,Punjab
6,0,0,Punjab
2,0,0,Punjab
2,0,0,Punjab
8,0,0,Punjab
2,0,0,Punjab
85,1,9,Sindh
1,0,0,Sindh
1,0,13,Baluchistan
0,0,14,Gilgit-Baltistan
0,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
3,0,3,Federal Administration Tribal Area
5,0,0,Khyber Pakhtunkhwa
4,0,1,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
0,1,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,1,Khyber Pakhtunkhwa
